,sex,age,generation,incomelevel
5173,0,5,1,0
454,1,1,2,0
4663,1,3,4,0
6541,0,0,2,0
11990,0,1,0,0
1117,1,3,4,0
11543,0,5,1,2
11694,1,3,3,0
625,0,4,5,2
2276,0,5,1,1
7041,0,4,5,2
10596,0,3,4,2
2814,0,0,2,0
6017,0,3,4,2
1485,0,5,5,2
2680,0,0,2,2
6884,1,0,2,2
6359,0,5,1,0
4385,0,4,5,1
13111,0,0,4,1
10668,0,3,4,2
4143,1,5,1,2
2203,1,0,2,1
8860,0,5,1,0
11584,0,3,4,2
5516,1,5,5,2
7062,1,3,3,2
4210,1,3,4,2
12995,1,3,3,0
4517,1,3,3,0
3409,0,2,5,2
4242,0,5,5,2
1116,0,0,2,0
4655,0,3,4,0
600,1,3,4,2
12721,0,3,3,0
9220,0,3,4,2
7185,1,3,4,2
7400,1,3,4,0
4286,1,2,2,2
1334,0,1,4,0
11877,0,1,2,2
3325,0,1,2,2
5893,0,1,2,2
8987,0,3,3,1
9070,0,5,5,0
360,0,3,4,0
11464,1,0,4,0
13071,0,3,4,1
106,1,4,5,2
9366,1,4,1,2
3571,0,0,4,2
9848,0,0,4,0
3575,0,3,3,2
5796,1,3,4,2
7916,0,0,4,2
7109,0,3,4,0
1231,0,3,3,0
7808,1,3,4,0
1961,1,3,3,0
5972,0,5,1,2
6759,0,2,0,0
6451,0,2,2,0
11964,0,4,1,0
8149,0,4,5,0
3247,0,2,0,2
11948,0,1,4,2
6906,1,4,1,2
11262,1,0,4,2
9391,0,0,2,2
7126,0,3,4,0
5702,1,3,2,2
5175,0,4,5,0
12618,0,4,5,0
1499,1,4,5,2
7800,0,0,4,0
688,0,5,5,2
4422,0,4,0,1
12183,1,3,2,2
8524,0,5,1,2
6250,0,5,5,0
8560,0,5,5,2
2786,0,0,4,1
8936,0,3,3,0
11366,0,0,2,0
10010,0,3,3,0
4647,0,3,4,0
720,0,4,0,2
4710,1,3,2,0
7192,1,3,3,2
4391,1,3,4,1
12359,0,2,2,2
12053,1,3,4,0
3590,0,0,2,0
8041,0,2,5,0
714,0,1,4,2
12402,0,3,4,1
5369,0,3,3,0
2644,0,3,3,2
926,0,5,5,2
11691,0,1,4,0
7605,1,5,5,0
4209,0,4,5,2
332,1,5,1,0
6969,0,1,2,2
8397,1,3,3,2
5787,1,3,4,2
8796,0,1,2,0
8121,0,2,0,0
11573,0,5,1,2
9052,0,3,4,0
7589,0,3,3,0
7291,1,3,4,1
6653,1,3,3,0
2945,0,5,1,0
9666,1,3,4,1
767,0,2,0,2
6847,0,0,4,0
8470,1,0,2,2
9986,0,3,3,0
11350,0,0,2,0
9209,0,0,4,2
12071,1,3,3,0
11037,0,1,4,0
8780,0,1,2,0
11537,0,2,0,2
4927,1,1,2,2
8365,0,0,4,2
222,1,1,0,0
2878,0,5,5,0
10052,0,4,1,0
5623,1,5,5,2
6090,0,0,4,0
7191,0,3,3,2
12675,0,1,2,0
3160,0,2,5,2
4011,0,0,2,0
11401,1,3,4,0
11097,1,4,5,2
4270,0,2,2,2
6148,0,0,2,0
6097,0,1,2,0
10752,1,4,1,0
12664,1,3,4,0
1414,0,2,0,2
12384,0,0,2,1
5610,1,4,0,2
3223,0,1,0,2
8610,0,3,3,2
1139,0,4,5,0
7779,0,3,4,0
3586,0,3,4,0
4792,1,3,3,0
3406,1,3,2,2
3714,0,1,2,2
727,1,1,0,2
4752,0,0,4,0
7453,0,1,2,0
806,1,0,2,2
560,0,1,0,2
9785,0,1,2,0
5780,1,0,2,2
9796,0,0,4,0
6468,0,3,3,0
11285,1,5,5,2
10495,0,3,4,2
2621,0,5,5,2
12259,0,3,4,2
2032,1,3,4,2
5721,0,3,4,2
1325,0,0,4,0
4155,0,1,0,2
10007,0,0,4,0
8587,0,4,5,2
1777,1,0,2,0
8977,0,2,2,1
13004,1,3,3,0
3608,0,3,4,0
1652,0,4,5,0
2020,0,3,4,2
2490,0,5,1,2
12994,0,1,2,0
5518,0,1,2,2
8676,1,3,4,2
8086,1,3,4,0
795,1,0,2,2
704,0,3,3,2
583,0,4,5,2
3636,0,0,4,0
10328,0,2,0,0
4282,0,5,5,2
12555,0,4,1,0
13038,0,0,2,1
4523,0,3,3,0
10182,0,5,5,0
8067,1,0,2,0
1758,1,3,2,0
7491,1,0,4,0
2243,0,1,2,1
11931,0,5,5,2
9560,0,3,3,2
7614,1,3,4,0
12221,0,2,0,2
6270,0,5,5,0
107,0,5,1,2
11422,1,3,3,0
13017,0,3,3,0
1852,1,2,0,0
2084,1,3,2,0
10064,0,2,0,0
1795,1,0,2,0
4253,0,3,3,2
12180,0,3,2,2
12124,0,5,5,2
11524,0,1,0,2
8293,1,3,4,2
10219,0,5,5,0
5884,1,3,3,2
6522,0,3,4,0
11520,0,1,0,2
2071,0,0,2,0
368,1,5,1,0
2516,1,3,4,2
12877,0,3,3,0
10754,0,0,4,0
10930,0,1,2,0
734,0,3,2,2
8359,0,4,5,2
1424,0,4,5,2
9825,1,3,3,0
1720,0,3,3,0
5630,1,0,4,2
10686,0,0,4,2
10699,1,3,3,2
7369,0,2,0,0
3273,0,2,0,2
10566,0,3,4,2
1620,0,2,0,0
12896,1,3,3,0
2533,0,2,0,2
12810,1,3,4,0
11270,0,2,2,2
586,0,1,2,2
3477,0,5,1,2
9148,0,2,5,2
9683,1,4,5,1
1650,1,0,4,0
3918,0,3,4,0
5938,0,0,4,2
9975,0,2,0,0
3749,0,0,4,2
11021,0,0,4,0
8217,0,2,2,0
478,1,2,0,0
12146,0,5,5,2
11152,0,3,4,2
8277,0,3,4,2
3733,0,1,4,2
8194,0,2,2,0
388,1,4,5,0
6342,0,0,2,0
6299,0,1,4,0
12138,0,4,0,2
12773,0,0,2,0
8014,0,3,2,0
5891,0,5,5,2
239,0,0,2,0
4446,0,0,2,0
724,1,3,3,2
12537,0,0,2,0
6568,0,4,5,0
3931,0,1,2,0
9928,0,2,0,0
12978,0,1,2,0
12514,1,0,4,0
8133,1,3,4,0
331,1,4,5,0
8106,0,0,2,0
2665,1,3,2,2
3859,1,3,3,0
10503,0,1,2,2
10294,0,2,0,0
494,0,0,4,0
7639,0,0,4,0
6224,0,0,2,0
891,0,0,4,2
4855,1,3,4,2
2074,0,0,2,0
11604,1,3,3,2
3885,1,1,4,0
12069,0,2,0,0
510,0,4,0,0
7603,0,5,5,0
2333,0,2,0,1
1390,1,1,0,2
9037,0,0,2,0
13063,0,2,0,1
3172,1,2,5,2
5451,0,0,2,2
1626,1,5,5,0
8152,1,1,2,0
12029,0,4,5,0
12879,0,0,4,0
3835,1,0,4,0
176,0,5,5,2
12027,0,3,4,0
12716,0,1,4,0
11188,0,3,4,2
8526,1,3,4,2
9678,0,3,4,1
10476,0,2,0,2
6048,1,3,3,2
8373,0,5,5,2
9231,0,2,0,2
10800,1,1,2,0
12672,1,3,4,0
1145,1,3,4,0
1608,0,2,0,0
2762,0,2,2,2
2966,0,5,1,0
3154,0,4,1,2
9278,0,0,4,2
3335,0,3,3,2
11430,1,3,3,0
9105,0,0,4,0
1235,1,3,2,0
5374,0,5,5,0
3958,0,0,4,0
9519,0,3,3,2
4409,0,3,3,1
9110,0,5,5,0
1242,1,3,2,0
12067,0,4,5,0
2543,0,0,2,2
1751,0,0,2,0
2356,0,5,5,1
6714,0,2,0,0
683,0,3,3,2
5835,0,0,4,2
5486,0,3,4,2
12355,1,1,4,2
4449,0,0,2,0
11425,1,0,4,0
2180,0,4,1,1
11822,0,4,5,2
2988,0,4,5,0
9759,1,3,4,0
5309,1,4,5,0
3006,0,4,5,0
5168,0,2,0,0
8326,0,1,2,2
6651,0,2,2,0
1337,0,0,4,0
6152,0,0,2,0
9700,1,3,3,1
2467,0,4,1,2
1816,1,5,1,0
5889,1,3,3,2
3852,1,4,0,0
8292,0,3,4,2
9555,1,3,3,2
10204,0,0,4,0
5742,1,3,4,2
5182,1,2,0,0
11686,1,3,3,0
3279,0,3,4,2
7525,0,1,2,0
3376,0,4,1,2
9275,0,3,3,2
8743,1,3,2,0
5970,1,3,4,2
8442,1,2,5,2
2087,1,3,4,0
12257,0,4,5,2
1814,1,0,2,0
5146,1,2,5,0
5269,1,3,4,0
6351,0,4,5,0
1983,1,1,4,0
3302,0,3,4,2
4923,1,3,4,2
3811,1,2,0,0
9791,0,0,4,0
609,0,4,5,2
6287,0,3,3,0
2674,0,2,0,2
9518,0,5,5,2
123,0,4,5,2
6569,0,2,0,0
3106,1,3,3,0
199,1,1,2,2
66,1,1,2,2
5855,1,2,0,2
6374,0,0,2,0
9619,0,4,5,1
11421,0,0,4,0
2600,0,5,5,2
6551,0,2,0,0
11266,0,5,5,2
2569,0,4,5,2
749,0,5,1,2
2223,1,0,2,1
4724,0,0,2,0
7572,0,1,4,0
6681,0,0,2,0
216,0,1,0,0
13052,1,3,4,1
1310,0,3,3,0
7778,0,0,2,0
3635,0,1,2,0
6211,0,1,2,0
1574,1,3,4,0
2874,0,3,4,0
11632,0,3,4,0
1033,1,0,4,0
7811,0,1,2,0
9551,0,2,2,2
463,0,5,5,0
4629,0,3,2,0
13066,0,5,1,1
4333,0,3,4,1
3462,1,3,4,2
10507,0,2,0,2
12862,0,5,5,0
7092,0,0,2,0
8146,0,3,4,0
10351,0,2,2,0
4600,1,5,5,2
5711,0,3,4,2
1898,1,2,0,0
7874,0,5,1,2
11703,0,3,4,0
2132,1,3,4,0
12477,0,4,5,0
6027,0,3,4,2
5484,0,1,2,2
11551,0,4,5,2
13069,0,2,0,1
1791,0,5,1,0
3568,0,5,5,2
13010,0,3,3,0
9053,1,3,4,0
3391,0,4,1,2
4476,0,1,2,0
