,sex,age,generation,incomelevel
2464,1,3,2,2
4701,1,3,2,0
5829,0,2,0,2
9191,0,2,0,2
2477,0,1,0,2
7634,0,0,4,0
5005,0,0,2,0
12903,0,0,4,0
4651,0,0,2,0
36,1,1,0,2
4369,0,1,2,1
1963,1,5,5,0
12341,0,0,4,2
3088,0,3,4,0
3597,0,0,2,0
3324,0,0,4,2
4213,0,1,2,2
1197,0,3,3,0
4649,1,3,4,0
10092,0,4,5,0
5886,0,2,0,2
5645,1,3,3,2
8511,1,3,4,2
12153,1,0,4,2
504,1,4,0,0
11004,0,0,4,0
10365,0,3,3,0
10766,0,4,5,0
3039,1,3,4,0
1550,1,3,2,0
2978,0,2,5,0
1212,0,1,4,0
12676,0,5,5,0
6959,0,4,5,2
7303,1,3,4,1
10537,0,4,0,2
6011,0,4,5,2
6866,1,0,4,0
2296,0,5,5,1
4562,1,4,5,2
9404,0,5,1,2
8783,1,3,4,0
4192,1,4,5,2
11979,1,3,2,0
8789,0,0,4,0
4833,1,1,2,2
4185,1,3,4,2
4590,1,5,5,2
2996,0,3,4,0
7611,0,3,4,0
9363,0,4,1,2
3327,0,2,0,2
2000,0,1,0,2
8757,0,0,2,0
8161,1,0,4,0
12798,1,3,4,0
9410,0,1,2,2
2679,0,1,0,2
5508,0,1,2,2
10939,1,0,4,0
12400,0,0,2,1
12458,0,0,4,1
1457,1,1,2,2
8808,0,3,3,0
8440,1,3,2,2
5833,1,0,4,2
11586,1,3,4,2
6840,1,3,3,0
12427,1,3,4,1
10670,0,0,4,2
12092,0,3,3,0
8486,0,0,2,2
9715,1,4,5,1
4382,0,1,2,1
2401,0,2,2,1
1484,1,5,5,2
1180,0,3,4,0
3985,1,3,3,0
7290,1,2,0,1
11446,0,3,3,0
10061,1,3,2,0
7052,1,2,0,2
8017,1,0,2,0
12303,0,4,5,2
10465,0,3,4,2
2013,1,3,4,2
11944,1,3,3,2
12859,0,3,4,0
1887,0,0,4,0
6244,0,5,5,0
56,0,5,1,2
11221,0,1,2,2
736,0,4,5,2
8544,0,1,2,2
6556,0,4,5,0
9295,0,2,2,2
810,1,3,4,2
6941,1,5,1,2
11640,0,3,4,0
10432,1,3,4,2
13106,0,2,0,1
1294,1,3,4,0
5647,1,5,5,2
2739,0,3,4,2
4689,0,3,3,0
11075,0,2,0,2
7722,1,3,3,0
6772,0,4,5,0
7879,1,4,5,2
12905,1,3,3,0
3046,0,3,4,0
8667,0,0,4,2
10304,0,0,4,0
9150,1,3,2,2
3690,1,3,4,2
8709,0,2,0,2
322,0,1,0,0
3271,0,1,2,2
12432,0,3,4,1
10962,0,2,2,0
5708,0,2,0,2
4124,0,1,0,2
5487,0,4,5,2
1860,1,1,2,0
6736,0,1,2,0
8879,0,4,5,0
6668,0,2,2,0
3303,0,0,4,2
12227,0,4,5,2
6114,0,3,3,0
5642,1,0,4,2
9075,0,3,3,0
12331,0,0,4,2
9013,0,3,2,0
9261,0,2,0,2
7183,1,3,4,2
474,0,4,5,0
2237,0,2,0,1
850,1,3,4,2
9038,1,3,4,0
6816,1,3,3,0
2690,0,3,4,2
11787,1,3,2,2
11237,1,1,4,2
951,0,0,4,2
6895,0,0,2,2
10400,1,4,0,0
11876,0,2,0,2
8394,0,2,2,2
3831,0,0,4,0
3499,0,5,5,2
1346,0,2,5,2
5428,1,5,1,2
8044,0,5,1,0
7174,0,3,4,2
5087,0,1,4,0
7735,0,3,2,0
8953,0,3,3,0
7699,1,3,4,0
2062,0,3,3,2
3581,0,3,3,2
10401,0,3,3,0
6896,0,1,0,2
6040,0,5,5,2
9170,0,4,1,2
12588,0,3,4,0
4065,0,0,4,0
11780,0,5,1,2
195,0,3,3,2
5436,1,1,0,2
5601,1,5,5,2
10869,0,5,5,0
152,0,1,2,2
3012,0,4,5,0
11252,1,4,0,2
2577,0,1,2,2
89,0,5,1,2
12668,0,4,5,0
378,1,5,1,0
11018,0,1,2,0
9707,0,1,2,1
6247,0,2,0,0
12442,0,0,4,1
6991,0,0,4,2
2877,0,0,4,0
5254,0,5,5,0
1612,0,3,4,0
9909,0,1,0,0
9255,0,5,5,2
9496,0,4,5,2
11245,0,4,0,2
8937,1,3,3,0
6501,0,3,2,0
9157,1,3,2,2
5772,0,2,0,2
469,1,5,5,0
1510,1,2,0,2
7095,0,0,2,0
11848,0,2,0,2
2658,0,3,2,2
8791,0,3,4,0
12619,0,2,0,0
5704,1,4,5,2
11801,0,5,1,2
6453,0,0,4,0
7686,0,3,4,0
12941,0,3,2,0
12837,0,1,2,0
9920,1,0,2,0
2610,0,2,2,2
4176,0,4,5,2
7371,0,0,2,0
11946,0,5,5,2
10639,1,0,2,0
1563,1,4,5,0
6149,1,3,2,0
10747,0,3,2,0
7235,0,0,2,1
3032,0,3,4,0
3630,1,3,3,0
8891,0,5,1,0
9767,0,1,2,0
7538,1,0,4,0
2008,0,1,0,2
2382,1,5,5,1
7226,0,5,1,1
12554,0,3,2,0
4559,0,1,2,2
3490,1,3,4,2
4934,0,3,3,2
11198,0,1,2,2
8993,0,3,3,1
4255,0,1,2,2
9853,0,2,2,0
9340,1,2,5,2
10729,0,5,1,0
8665,1,4,5,2
10824,0,5,5,0
1838,0,5,1,0
6877,0,2,2,0
3904,0,0,2,0
11708,1,3,4,0
1630,0,0,4,0
6069,0,0,2,0
1048,1,4,5,0
1444,1,1,2,2
12147,0,4,0,2
47,1,1,0,2
585,0,0,2,2
3142,0,3,3,0
11695,0,3,3,0
8638,0,3,3,2
7120,0,3,4,0
9976,1,0,4,0
6166,1,5,1,0
8516,0,2,0,2
9743,0,1,0,0
4227,0,2,0,2
10912,1,3,4,0
1924,0,5,5,0
6685,0,2,5,0
8195,0,3,3,0
12038,1,3,4,0
5454,0,3,4,2
6457,0,2,2,0
4646,1,3,4,0
1832,1,5,1,0
4421,1,3,3,1
7427,1,1,2,0
10909,0,3,4,0
9845,0,3,3,0
10780,0,3,4,0
9307,0,3,3,2
12632,0,5,1,0
4399,0,1,2,1
13077,0,1,2,1
1449,0,1,2,2
6655,0,3,3,0
7223,0,1,0,1
3977,0,2,2,0
4142,0,1,0,2
8750,0,3,4,0
2509,1,3,4,2
11209,0,5,5,2
5586,1,1,2,2
2362,0,1,2,1
4225,0,1,2,2
8315,0,4,5,2
9321,0,0,2,2
4020,1,3,4,0
4515,0,3,3,0
1715,1,2,2,0
12895,0,5,5,0
7697,0,3,4,0
5957,0,5,1,2
1621,0,3,4,0
10367,0,5,5,0
10749,0,5,1,0
11721,0,3,4,0
7375,1,3,4,0
12214,0,3,4,2
3372,1,3,3,2
12076,0,3,3,0
5433,0,4,5,2
1445,1,0,2,2
10132,0,3,4,0
1962,1,4,5,0
7161,1,3,4,2
10802,0,0,4,0
4596,0,4,5,2
361,0,4,5,0
4055,0,1,2,0
6331,0,1,0,0
6388,0,5,1,0
825,1,1,2,2
12219,1,3,4,2
9983,0,1,2,0
2285,0,0,4,1
4139,0,4,1,2
3118,0,4,0,0
11101,0,4,5,2
171,1,2,0,2
9553,0,1,4,2
10998,1,3,4,0
3797,1,5,5,0
5326,1,3,3,0
2905,0,4,5,0
293,1,1,0,0
8768,0,3,4,0
4316,0,5,1,1
6495,0,0,2,0
11684,0,0,4,0
2528,0,1,2,2
1764,0,4,1,0
2588,0,3,4,2
11759,0,1,4,0
2066,0,3,3,2
9468,0,0,4,2
10069,1,3,4,0
9724,1,4,0,1
11184,0,0,4,2
1592,0,3,4,0
6553,0,1,2,0
7160,0,3,4,2
3080,1,3,4,0
4869,1,0,2,2
1483,0,3,4,2
12574,0,3,4,0
6142,0,0,2,0
11847,0,5,1,2
8538,0,4,5,2
76,0,4,5,2
8725,0,1,2,2
380,0,1,2,0
9761,0,5,1,0
5184,0,5,1,0
7901,1,3,4,2
7872,0,3,4,2
9628,0,0,2,1
4699,0,3,2,0
1900,0,1,2,0
3259,0,1,2,2
11228,1,2,2,2
10012,1,0,4,0
7764,0,0,2,0
4682,0,5,5,0
10430,0,1,0,2
5367,0,0,4,0
11929,0,3,3,2
3361,0,4,0,2
10187,0,1,2,0
10407,1,2,2,0
5181,1,1,0,0
2727,0,0,4,2
1263,0,0,2,0
2142,1,3,3,0
1964,0,0,4,0
11942,0,0,4,2
13108,0,4,5,1
9727,0,0,4,1
5445,0,4,5,2
3750,1,3,3,2
8023,0,0,2,0
9932,1,3,4,0
908,0,5,5,2
1821,0,3,4,0
7420,1,3,4,0
476,1,0,4,0
8898,0,3,4,0
4269,0,4,5,2
9901,0,2,0,0
7635,1,3,4,0
9569,0,5,1,1
1290,1,3,4,0
3020,0,4,5,0
6762,1,3,4,0
619,0,0,2,2
1888,0,1,2,0
9484,0,5,5,2
8420,0,4,1,2
6378,0,3,4,0
12407,1,3,4,1
1863,0,0,4,0
12230,1,3,4,2
11487,1,3,2,1
12557,0,1,0,0
6010,0,1,2,2
3503,0,3,4,2
6532,0,3,4,0
6566,1,3,4,0
4771,0,0,4,0
5635,1,5,5,2
11378,0,3,4,0
13112,0,1,2,1
6943,1,2,5,2
12089,0,0,4,0
11726,0,1,2,0
183,1,3,3,2
4526,0,1,2,2
12453,0,1,4,1
10636,0,3,4,0
3626,0,3,4,0
5641,0,5,5,2
4727,0,0,2,0
11836,0,4,5,2
10053,0,1,0,0
2881,0,0,4,0
1123,0,1,0,0
689,1,3,3,2
7973,1,4,5,2
4572,0,3,4,2
3579,0,2,2,2
6747,0,2,0,0
12210,0,1,2,2
10227,1,3,3,0
12878,0,1,2,0
2194,1,3,2,1
9146,0,5,1,2
7985,1,4,0,2
194,0,2,0,2
2051,0,3,3,2
1109,0,0,2,0
232,0,5,1,0
5766,1,2,0,2
11294,0,4,0,2
4922,0,3,4,2
10479,0,0,4,2
1053,0,3,3,0
7028,1,5,5,2
1221,0,1,4,0
1488,1,0,4,2
3444,0,0,2,2
8763,0,0,2,0
10166,0,1,2,0
12414,0,3,4,1
10280,1,2,0,0
8636,0,4,0,2
9283,0,5,5,2
4799,0,0,2,2
5999,0,1,2,2
6423,0,4,5,0
6716,0,0,2,0
351,1,0,2,0
5499,0,4,5,2
11485,1,3,2,1
6239,0,1,2,0
5990,0,3,4,2
3467,0,0,2,2
8927,0,3,4,0
2983,0,3,2,0
11557,1,3,4,2
12606,0,4,5,0
10353,0,3,3,0
6677,0,3,2,0
3872,1,0,4,0
5009,0,0,2,0
7485,1,5,5,0
12651,1,3,4,0
4746,0,0,4,0
1081,1,0,4,0
5430,0,1,0,2
9296,0,4,0,2
6438,0,4,5,0
3078,0,5,5,0
1729,0,0,4,0
5756,1,2,0,2
6948,0,4,1,2
6380,0,0,2,0
11411,0,4,5,0
10018,1,0,4,0
8387,1,4,0,2
2985,0,0,2,0
8957,1,3,3,0
4520,0,2,2,0
10914,1,3,4,0
12204,0,2,0,2
5316,0,0,4,0
692,0,2,2,2
2993,0,2,0,0
10707,0,3,3,2
12389,1,3,4,1
9088,0,3,3,0
5569,0,2,0,2
7750,0,0,2,0
9530,0,2,2,2
8378,0,3,3,2
10490,0,3,4,2
12325,1,3,3,2
2131,0,3,4,0
5978,0,0,2,2
402,0,0,4,0
11949,0,0,4,2
2330,0,5,5,1
1843,0,0,2,0
4994,0,2,2,2
661,1,3,4,2
4876,1,1,2,2
5471,1,5,1,2
11375,0,1,2,0
8304,0,2,0,2
783,0,2,0,2
3258,0,0,2,2
2651,0,3,3,2
3593,0,1,2,0
9035,0,3,4,0
9094,0,1,4,0
10011,0,2,2,0
2951,0,1,0,0
2859,0,5,1,0
1406,1,4,5,2
11189,1,1,2,2
8615,0,4,0,2
6425,0,5,5,0
5789,1,0,2,2
4281,1,3,3,2
8439,0,4,1,2
5209,0,5,1,0
2433,1,0,2,2
4091,0,1,4,0
10212,0,3,3,0
5982,0,5,1,2
329,1,2,0,0
7844,0,3,3,0
9736,1,3,2,0
10621,1,3,3,2
10419,0,3,2,2
5038,1,3,4,0
3534,0,5,5,2
12307,1,0,4,2
2322,1,5,5,1
3598,0,1,2,0
2411,0,2,2,2
4144,0,5,1,2
5758,1,0,2,2
7249,1,2,0,1
4509,1,3,3,0
7250,1,4,5,1
7999,0,1,0,0
10433,0,3,4,2
2952,0,4,1,0
8384,0,4,0,2
9497,1,3,4,2
1247,0,0,2,0
6696,1,0,2,0
10913,0,3,4,0
5076,1,3,3,0
4434,0,5,5,1
5187,0,1,0,0
4901,0,2,0,2
4454,1,3,4,0
2499,0,4,5,2
7441,1,0,4,0
6105,0,0,4,0
10516,1,3,3,2
10890,0,3,2,0
4475,0,0,4,0
7756,1,3,4,0
3010,0,3,4,0
3275,0,5,5,2
11161,0,5,5,2
6397,0,0,4,0
10532,0,1,4,2
13092,0,4,5,1
6580,0,5,5,0
3008,0,0,2,0
1948,0,4,5,0
10805,0,4,5,0
5158,0,4,5,0
818,0,1,2,2
8422,0,3,2,2
1422,1,0,2,2
12851,0,0,4,0
8693,0,2,0,2
5137,1,3,2,0
715,0,4,0,2
6951,1,3,2,2
9328,0,5,1,2
12446,0,1,2,1
743,0,0,2,2
12814,0,1,2,0
4625,0,5,1,0
13057,0,2,0,1
1315,0,3,3,0
5764,0,3,4,2
5717,0,5,1,2
4059,1,0,4,0
7172,0,3,4,2
5270,1,2,0,0
5746,1,0,2,2
11088,0,4,5,2
6474,0,3,3,0
11082,1,1,2,2
3514,0,2,0,2
11927,0,1,4,2
8267,0,5,1,2
11816,0,4,5,2
90,0,2,0,2
5188,0,0,2,0
2570,0,5,5,2
6507,0,3,2,0
5674,0,3,2,2
1662,0,3,3,0
3354,0,2,2,2
10151,0,1,2,0
7944,0,3,3,2
8548,0,3,4,2
5012,0,1,0,0
4982,0,1,4,2
2579,0,5,5,2
3769,0,4,5,0
1893,1,0,4,0
6976,1,4,5,2
4842,1,1,2,2
7179,1,3,4,2
8058,1,2,0,0
8046,1,5,1,0
7687,1,3,4,0
7127,1,3,4,0
9745,1,3,4,0
10338,0,0,4,0
12196,1,3,4,2
1368,0,2,0,2
7435,0,5,1,0
4442,0,3,4,0
1044,0,4,5,0
3072,0,4,5,0
8298,0,3,4,2
11192,0,5,5,2
11644,0,3,4,0
8221,1,1,4,0
9420,0,0,2,2
10893,0,3,4,0
5027,0,3,4,0
1031,0,4,5,0
9172,1,3,2,2
9786,0,0,4,0
4568,1,3,4,2
5936,0,5,5,2
6856,0,3,3,0
2711,1,3,4,2
7855,0,0,4,0
6321,0,0,2,0
2586,0,5,5,2
4292,0,3,3,2
9805,0,5,5,0
4496,1,3,3,0
10620,0,0,4,2
2539,1,0,2,2
8082,0,4,5,0
12215,0,4,5,2
8262,0,3,2,2
1725,1,5,5,0
1386,0,5,1,2
9596,0,4,5,1
1127,0,3,4,0
8453,1,0,2,2
10478,1,3,4,2
11054,0,0,4,0
7885,0,2,0,2
4470,0,0,4,0
2468,0,2,5,2
3198,0,3,2,2
6631,0,3,3,0
2334,0,0,4,1
55,0,5,1,2
1693,0,2,2,0
9140,0,1,0,2
6258,0,1,2,0
7530,0,3,3,0
5288,0,3,4,0
5360,1,3,3,0
3903,0,1,0,0
3784,1,1,2,0
3785,1,3,4,0
8404,1,1,0,2
7321,1,2,5,0
2488,0,3,4,2
7292,1,4,5,1
12835,0,3,4,0
6189,1,3,4,0
5222,0,0,2,0
5504,1,3,4,2
6606,0,2,0,0
8163,0,2,0,0
7335,0,0,2,0
7759,0,1,0,0
621,0,3,4,2
4580,1,0,4,2
1781,0,1,0,0
7570,1,0,4,0
10136,0,4,5,0
5866,1,2,0,2
3093,0,5,5,0
65,0,3,4,2
3726,0,2,2,2
7941,0,0,4,2
6102,1,3,4,0
1213,0,3,3,0
11086,0,5,1,2
6963,1,2,0,2
7272,0,2,0,1
8004,0,5,1,0
8288,0,0,2,2
12791,0,0,2,0
7542,0,5,5,0
8219,0,4,0,0
3187,0,4,1,2
2361,0,0,4,1
4425,0,5,5,1
12233,0,2,0,2
11047,1,3,3,0
7240,0,5,1,1
1487,1,2,0,2
664,0,1,2,2
2116,0,0,4,0
11910,0,5,5,2
11457,0,4,0,0
1780,0,0,2,0
15,1,4,1,2
1868,0,5,5,0
11623,0,3,2,0
11760,0,0,4,0
1886,1,5,5,0
4229,0,4,5,2
12838,0,5,5,0
1784,0,5,1,0
7997,1,3,2,0
9693,1,4,5,1
11371,0,1,2,0
1083,1,3,3,0
9552,0,3,3,2
1162,0,3,4,0
7661,0,3,3,0
10105,0,3,4,0
2594,1,3,3,2
3838,0,4,5,0
9515,0,4,5,2
2213,1,0,2,1
6408,1,3,4,0
2741,0,1,2,2
479,1,3,3,0
540,0,1,0,2
7416,1,2,0,0
4960,0,5,5,2
4379,0,3,4,1
11217,1,0,4,2
2854,0,5,1,0
4303,1,3,3,2
11855,0,5,5,2
1202,1,3,3,0
7387,0,5,1,0
7410,0,4,5,0
2580,0,3,4,2
7141,1,3,3,0
1841,1,0,2,0
1239,0,0,2,0
2014,0,3,4,2
8338,0,3,4,2
2057,1,3,3,2
12405,0,3,4,1
7965,0,1,2,2
1272,0,3,4,0
13002,0,1,2,0
2534,0,5,1,2
675,1,3,3,2
6954,1,4,5,2
12344,0,1,4,2
4221,0,3,4,2
3342,1,3,3,2
8941,0,3,3,0
4571,1,0,4,2
9930,0,0,2,0
2208,0,1,0,1
5459,1,3,4,2
11447,0,5,5,0
4076,0,3,3,0
1719,0,2,2,0
568,1,3,4,2
12753,0,0,2,0
7507,1,3,4,0
5480,1,3,4,2
4560,1,1,2,2
4036,1,3,4,0
12043,0,4,5,0
9071,0,0,4,0
7466,0,0,4,0
10255,1,5,1,0
1909,1,5,5,0
10068,0,0,2,0
7309,0,1,0,0
12526,0,1,2,0
11820,0,0,2,2
6506,1,3,2,0
6471,0,0,4,0
7454,0,2,0,0
9501,0,2,0,2
679,0,1,2,2
6494,0,2,5,0
3344,0,5,5,2
4246,0,5,5,2
2498,0,0,2,2
9525,0,3,3,2
3886,0,2,2,0
18,0,1,0,2
3116,0,1,4,0
2210,0,3,4,1
8804,0,5,5,0
8917,1,3,4,0
4331,0,2,0,1
7780,1,3,4,0
5628,0,4,0,2
5095,0,1,4,0
12772,0,1,0,0
2955,0,3,2,0
4366,0,3,4,1
9664,0,2,0,1
8480,0,2,0,2
9411,0,2,0,2
6559,0,0,2,0
10840,0,1,4,0
1396,1,4,5,2
1389,0,0,2,2
12065,0,1,2,0
6753,0,2,0,0
8933,1,3,3,0
10088,0,0,2,0
45,1,4,5,2
12783,0,5,1,0
3611,1,3,4,0
5905,0,4,5,2
5133,0,2,5,0
3744,0,1,4,2
10779,0,2,0,0
2182,1,3,2,1
5010,1,3,4,0
4929,1,0,4,2
2607,0,0,4,2
7562,0,3,3,0
8406,1,0,2,2
2568,0,2,0,2
10265,1,5,5,0
4259,0,3,3,2
4713,1,3,4,0
4656,1,3,4,0
740,0,2,0,2
5895,0,4,5,2
2531,0,3,4,2
11142,1,1,2,2
1416,0,3,4,2
12315,1,3,3,2
12021,0,3,4,0
4419,0,5,5,1
6118,1,3,3,0
2631,0,2,2,2
10302,0,1,2,0
11764,0,0,4,0
8971,0,1,4,1
6761,0,0,2,0
2226,1,4,5,1
4237,0,1,2,2
3964,1,3,3,0
8029,1,4,1,0
730,0,4,1,2
20,0,2,5,2
11381,0,1,2,0
9836,0,0,4,0
2215,1,3,4,1
238,1,5,1,0
3511,0,3,4,2
12628,0,0,2,0
7945,0,4,5,2
11175,0,3,4,2
2003,0,3,2,2
9387,1,1,0,2
7340,1,4,1,0
9908,0,2,0,0
8151,0,3,4,0
2494,0,1,0,2
7465,0,2,0,0
3604,0,3,4,0
3319,0,2,0,2
9262,1,3,3,2
6531,1,3,4,0
11242,0,5,5,2
11314,0,1,0,0
3094,1,3,4,0
5677,0,0,2,2
12048,0,3,4,0
12629,1,3,4,0
11924,0,4,0,2
3824,0,3,3,0
5998,1,3,4,2
7733,0,0,4,0
6648,0,5,5,0
9270,0,5,5,2
8226,0,2,2,0
5636,0,0,4,2
8520,0,3,4,2
3207,1,2,0,2
4295,1,3,3,2
3217,0,4,5,2
181,0,4,5,2
5703,0,5,1,2
10293,1,0,4,0
4447,1,3,4,0
9816,0,5,5,0
2860,0,0,2,0
12805,0,3,4,0
3713,0,0,4,2
8590,0,3,3,2
2823,0,3,4,0
7835,1,3,3,0
6839,0,0,4,0
9590,1,0,2,1
5157,1,0,2,0
8158,0,1,2,0
2135,1,3,3,0
7523,1,2,0,0
9473,0,2,0,2
5873,0,4,5,2
6770,0,3,4,0
9661,0,5,5,1
1020,0,3,4,0
3240,0,4,5,2
12788,0,5,1,0
10708,1,3,3,2
3489,0,2,0,2
5140,0,4,1,0
10989,1,3,4,0
12906,0,3,3,0
11606,0,3,3,2
4552,0,4,5,2
9958,1,0,4,0
4755,0,1,2,0
12983,1,3,4,0
7876,1,1,2,2
8568,0,5,5,2
3873,0,2,2,0
10689,0,1,2,2
8066,0,1,0,0
614,1,3,4,2
3035,0,1,2,0
12018,0,3,4,0
4290,0,4,0,2
556,0,1,0,2
5249,0,0,4,0
9709,0,2,0,1
12599,0,1,2,0
8369,0,1,4,2
10355,0,5,5,0
7218,0,5,1,1
157,1,0,4,2
57,1,1,0,2
12158,0,4,0,2
10119,0,3,4,0
10960,1,3,3,0
1829,0,3,4,0
2880,0,3,4,0
9451,0,2,0,2
8283,1,3,4,2
5059,0,3,4,0
7558,0,1,4,0
2642,0,0,4,2
5763,1,3,4,2
9897,1,3,4,0
7070,1,0,4,2
10814,0,4,5,0
9612,1,4,5,1
6326,0,0,2,0
6968,0,0,2,2
11966,1,5,1,0
5319,1,0,4,0
12350,1,5,5,2
345,0,0,2,0
5507,0,0,4,2
7541,0,3,3,0
3470,0,4,5,2
4351,1,3,4,1
8102,1,3,4,0
2791,0,0,2,0
7809,0,5,5,0
3923,0,1,2,0
9651,0,0,4,1
4348,0,3,4,1
1087,0,3,3,0
2587,1,3,4,2
1461,0,0,2,2
851,0,0,4,2
3256,1,3,4,2
10649,0,5,5,0
13128,0,2,2,1
4739,0,0,2,0
592,0,1,2,2
6707,0,3,2,0
12692,0,3,3,0
11901,1,3,3,2
9852,0,4,0,0
10260,0,3,4,0
8464,0,0,2,2
8528,0,0,2,2
7620,1,3,4,0
12686,0,3,3,0
10817,1,4,5,0
3949,1,3,4,0
3758,0,5,1,0
5186,0,2,0,0
10322,1,4,5,0
8165,0,0,4,0
4502,0,4,0,0
7914,1,5,5,2
1165,0,5,5,0
11154,1,1,2,2
8446,0,0,2,2
2812,1,3,2,0
1801,0,1,0,0
11530,1,3,2,2
920,0,2,2,2
9623,1,4,5,1
4744,1,3,4,0
328,1,1,0,0
13050,0,0,2,1
10137,0,1,2,0
11811,1,3,4,2
11959,0,0,2,0
1262,0,3,4,0
5287,1,3,4,0
5340,0,2,2,0
10143,0,4,5,0
240,0,1,0,0
12393,0,3,4,1
1204,0,5,5,0
9831,0,1,4,0
2789,0,5,5,1
5089,1,3,3,0
4563,1,0,4,2
5405,1,3,2,2
582,0,3,4,2
4312,0,5,1,1
3203,0,5,1,2
11938,0,5,5,2
11201,1,5,5,2
7964,0,0,4,2
3426,0,2,0,2
7836,0,1,2,0
4271,1,3,3,2
4056,0,0,4,0
3371,0,3,3,2
7528,1,4,5,0
10378,0,5,5,0
992,0,1,2,0
3442,0,3,4,2
12502,1,4,5,0
10955,1,3,3,0
9827,0,4,0,0
8670,0,3,4,2
2021,0,0,2,2
3173,0,0,2,2
10266,1,1,2,0
7426,0,1,2,0
4635,0,3,4,0
8640,0,1,4,1
11616,1,3,3,2
10239,0,2,2,0
4324,1,3,4,1
11971,0,3,2,0
7782,0,3,4,0
236,1,3,2,0
6719,0,2,0,0
2699,0,0,2,2
2309,0,2,0,1
304,1,0,2,0
4104,0,4,1,2
9067,0,5,5,0
7171,1,3,4,2
4704,1,3,2,0
742,0,1,0,2
6661,0,0,4,0
4336,0,2,0,1
12408,0,3,4,1
477,1,1,2,0
2392,0,0,4,1
2574,1,3,4,2
10311,1,1,2,0
4518,0,0,4,0
9327,1,3,2,2
10017,0,2,2,0
6046,0,1,4,2
2476,0,2,0,2
2540,0,5,1,2
11166,1,1,2,2
10142,0,1,2,0
3178,0,4,1,2
759,0,1,0,2
9989,0,1,2,0
10471,0,2,0,2
4769,0,3,3,0
9306,0,4,0,2
5279,0,3,4,0
8409,0,1,0,2
12241,1,5,1,2
528,1,5,5,0
6611,0,3,3,0
1454,1,5,1,2
10709,0,1,4,2
12550,0,2,5,0
12376,0,0,2,1
5215,0,3,4,0
2795,0,0,2,0
2729,0,3,4,2
8478,1,0,2,2
5962,0,3,2,2
4828,0,0,2,2
12301,0,2,2,2
7294,0,0,4,1
12677,0,0,4,0
11160,0,1,2,2
10066,0,5,1,0
4194,0,5,1,2
9314,0,2,2,2
12015,0,4,5,0
3844,0,5,5,0
1458,1,2,0,2
4321,0,2,0,1
5751,0,2,0,2
7168,0,3,4,2
7350,0,4,5,0
12108,1,4,5,2
7307,1,2,5,0
105,1,3,4,2
4138,0,2,5,2
7326,0,5,1,0
12977,0,3,4,0
9297,1,3,3,2
4033,0,3,4,0
7752,1,3,2,0
6604,1,3,4,0
558,0,3,2,2
9756,0,3,4,0
8671,0,4,5,2
6315,0,5,1,0
3334,1,3,3,2
11911,0,4,5,2
7054,0,4,5,2
4638,0,0,2,0
2809,0,4,1,0
12084,0,2,2,0
754,0,3,4,2
11063,0,5,1,2
9402,0,1,2,2
8794,1,3,4,0
10624,0,1,2,0
4218,1,3,4,2
12825,0,1,2,0
11094,1,1,2,2
1240,0,3,2,0
10372,1,2,2,0
4544,0,3,4,2
11231,0,0,4,2
1259,0,3,4,0
1804,0,3,4,0
1295,0,3,4,0
698,0,0,4,2
1042,0,1,2,0
658,0,2,0,2
1664,0,5,5,0
8018,1,1,0,0
11734,1,3,4,0
9380,0,2,0,2
9015,1,3,4,0
7505,0,3,4,0
8136,0,0,4,0
2999,0,4,5,0
876,1,1,2,2
5330,0,2,2,0
6670,1,3,3,0
6516,1,3,4,0
7824,0,2,0,0
11162,0,4,5,2
8062,0,5,1,0
10015,0,3,3,0
7215,0,1,0,1
2686,0,3,4,2
2931,1,3,3,0
6827,0,4,5,0
2771,0,3,3,2
4751,0,3,4,0
2510,0,3,4,2
12163,1,5,5,2
2514,0,0,2,2
8275,0,5,1,2
11889,0,5,5,2
11224,0,3,3,2
9947,0,3,4,0
11096,1,0,2,2
11215,1,5,5,2
5946,0,0,4,2
8861,0,3,2,0
7834,0,3,3,0
7939,1,1,2,2
7329,1,5,1,0
10964,1,0,4,0
729,1,0,2,2
4618,0,0,4,2
10782,0,5,5,0
5680,0,4,1,2
5305,0,4,5,0
295,1,3,4,0
9571,0,4,5,1
4092,0,0,4,0
11521,0,3,2,2
2408,1,2,2,2
8454,0,0,2,2
10271,0,3,4,0
9818,0,1,2,0
3483,0,2,0,2
8648,0,5,1,2
11113,0,5,1,2
4405,0,1,2,1
7489,0,0,4,0
3123,0,1,4,0
7300,1,0,4,1
10710,0,0,4,2
12168,0,0,4,2
4583,1,2,0,2
3641,0,3,3,0
1640,0,3,4,0
1125,0,0,2,0
3807,1,5,5,0
2272,0,1,2,1
4804,0,5,1,2
8637,1,3,3,2
1705,1,1,4,0
7966,0,2,2,2
7757,0,3,4,0
12734,1,3,3,0
1355,0,0,2,2
4326,0,3,4,1
5113,0,5,1,0
5216,1,2,0,0
1831,1,1,0,0
1934,0,3,3,0
6350,0,3,4,0
4047,0,1,2,0
7633,0,3,4,0
10102,0,2,0,0
6641,0,5,5,0
10899,0,3,4,0
8651,1,2,0,2
175,1,4,5,2
13086,0,4,5,1
3427,1,3,4,2
8658,0,3,4,2
10473,1,3,4,2
3356,1,3,3,2
9362,1,0,2,2
5783,0,0,2,2
10875,0,2,2,0
444,1,3,4,0
8854,0,3,2,0
