,suicides_per_100k
2887,4.1503563
5210,4.2608147
43,3.0309293
1489,4.421697
36,3.0309293
136,0.0
927,1.0347775
748,2.8215928
7045,7.243891
7645,7.571047
379,0.0
361,1.2029207
5336,0.0
4439,1.7206008
7001,8.649806
2752,1.378187
1060,0.0
2312,0.11672248
6727,0.69911563
6801,1.051276
1399,1.1453573
6135,9.550169
7423,9.879976
1121,5.124826
452,7.316873
466,7.031335
2556,7.229279
2026,6.5044074
2088,5.0179687
2807,3.41027
3314,4.5957994
5850,0.6274333
7359,2.2796667
7659,7.9042087
6903,1.1858
7548,1.8278272
146,4.4759784
2265,6.7337475
5058,9.917632
5289,0.0
736,1.9508221
7779,8.038251
464,7.2497993
3782,9.104041
6441,1.7327378
2844,3.4671369
2666,8.700267
5878,1.2967422
2185,5.7019863
1867,6.3455462
7209,5.8536735
414,0.0
2218,7.4720707
4691,7.802001
5281,5.451308
434,1.0882696
2290,7.1539826
6655,9.869631
1666,3.6555974
155,5.803285
1290,3.9819539
5142,3.59953
2761,3.2948568
399,0.0
362,1.2029207
7466,3.9110694
213,0.0
2050,5.8127613
3276,2.4390244
4773,1.6364684
7563,1.7733644
1345,0.39079446
3566,1.6816846
6443,1.7327378
5140,3.3021114
7678,7.428202
6254,9.470583
451,7.2689996
925,1.0347775
2193,6.7537737
923,1.0347775
1132,3.1512263
6506,10.203821
7623,8.219736
806,2.8070924
4642,1.6015109
7351,2.5901415
4366,5.7496047
243,0.0
2598,4.8098087
7791,7.36156
3848,8.116296
1009,1.6809132
5564,5.776474
2103,4.921513
5808,5.186741
817,2.3837783
6922,0.97123647
4970,7.849115
2896,3.5160658
6977,8.856995
3074,3.5432918
7203,6.434829
7380,9.675953
1573,4.350818
423,0.0
4732,1.1374537
6210,6.7821603
901,0.72072625
4580,1.6585808
2700,9.151895
516,9.189855
3874,5.9956503
7501,2.1271868
1257,6.6777964
3027,5.5898113
1655,8.565559
4091,7.2488337
3044,3.9192917
5482,0.47299558
4664,1.8302773
6263,8.217496
5948,2.1509724
1964,3.667011
1161,4.1987677
5633,3.0697258
2950,2.1055179
371,0.0
2662,9.974369
2231,8.505945
6319,4.263341
1258,6.6777964
2453,5.090369
3793,5.3265233
3996,5.1858125
3500,0.0
3234,4.8198247
2461,5.4335275
5735,3.349167
5278,5.4821706
2864,2.7219014
3274,2.4390244
2116,4.8294253
7160,8.754355
4341,3.0338426
7073,8.85387
6783,0.890576
2040,5.9640665
3725,2.7755544
274,0.0
5050,7.328193
6619,10.520833
1707,4.5143237
2016,6.014694
5297,0.0
7747,7.460703
5927,1.8517874
402,0.0
5224,4.2957754
6740,0.6581451
2099,4.805081
7866,5.368905
4240,0.08279116
7535,2.2427638
5877,1.2967422
7533,2.2427638
2077,5.4333024
7737,7.318979
1238,6.751055
6705,0.26993245
6970,8.705542
4798,0.30160543
3926,6.7267537
5454,5.7566752
7090,7.456266
690,1.8549747
1604,5.2854867
661,3.7755575
1143,4.1460657
5943,2.1509724
3072,3.5432918
5565,5.776474
6217,7.445242
5065,8.412516
779,1.9704837
2613,7.3826766
3786,6.082873
7507,2.8267217
5900,1.5865482
4228,0.20909321
1046,0.0
7667,7.9665666
2893,4.1503563
177,3.50874
1270,5.8260508
1260,6.6777964
2307,0.11672248
4827,3.0229745
6819,0.93545085
830,2.0691903
2036,6.347677
4032,8.377807
1853,10.418105
3966,7.007478
3134,3.1987653
2711,8.6827545
5960,2.3392193
5439,7.1264124
4417,1.4133166
7609,8.435456
5914,2.0864475
1916,6.8218193
4041,8.659226
1434,0.0
4880,4.280822
663,2.4954822
637,2.508538
7406,6.3904457
5603,4.3188887
5754,3.6798942
791,2.727723
7760,7.44281
1978,3.8802123
6378,2.5181901
5118,2.9713438
6980,8.856995
6709,0.45880365
7345,2.5901415
2201,6.7678137
3517,0.0
5177,3.8530664
1514,8.880162
5945,2.1509724
5137,3.3021114
5739,3.349167
4549,2.254412
7836,8.807169
6484,10.070836
5262,4.920052
6555,4.794496
6492,7.9614663
3533,1.9795284
5618,3.760065
1570,4.350818
4085,7.4175105
1478,7.7562327
2408,4.420948
5345,0.0
6106,10.348293
5903,1.5865482
1933,10.564005
5447,6.5891547
4998,5.462744
1459,1.2330456
112,5.0782766
3146,3.0814598
6724,0.69911563
4316,0.11598004
6420,2.14662
4275,2.050524
2092,5.0179687
5625,4.175884
1202,1.5809908
3444,0.0
4525,2.0846815
3642,2.016955
412,0.0
6123,10.728462
3435,0.0
7545,1.8278272
1815,5.348029
3426,0.0
1688,3.9451213
825,2.3837783
2072,5.415242
811,2.8070924
2497,5.5524797
1634,7.673125
518,9.454978
717,1.6618123
3064,4.1488743
649,3.2916973
284,2.6551256
135,0.0
594,8.226281
876,2.1301625
766,2.0686998
6096,7.757757
2922,2.4149048
1330,1.1768167
2311,0.11672248
7542,1.8278272
765,2.0686998
2715,9.112228
6331,3.012087
5684,2.8944569
4542,2.254412
5973,2.2865503
2558,7.229279
7403,6.3904457
3594,1.9791678
2110,4.7489686
560,7.761451
956,0.7949577
